Biome	SWRad	Tavg	Tmin	VPD	Fpar	LAI
9	423.000000	30.294991	21.339991	3419.354492	25	6
 	407.500000	31.744987	23.339991	3833.253906	21	4
 	412.699951	33.244987	24.649988	4126.772461	26	5
 	407.000000	33.994987	26.339991	3984.580811	25	5
 	335.899902	36.249992	31.550013	4569.571289	27	4
 	260.699951	33.299980	26.649988	3125.435059	24	4
 	198.699951	29.794991	25.339991	1740.986206	23	4
 	279.899902	27.099985	22.949976	546.162170	21	3
 	307.000000	27.299982	23.949976	602.176697	18	3
 	347.000000	31.599998	25.649988	2362.409180	16	3
 	293.199951	30.199989	23.149988	1909.707642	15	3
 	271.399902	27.994987	21.839991	1241.737061	16	3
 	325.199951	27.994987	22.649988	2170.341797	 	 
 	335.399902	29.949974	22.949976	3400.945312	 	 
 	423.500000	31.394981	22.839991	3915.988037	 	 
 	381.199951	34.544991	26.339991	4256.211426	 	 
 	348.699951	35.999992	30.249994	4829.379395	 	 
 	293.699951	32.650002	23.749994	3780.427734	 	 
 	251.899902	27.644981	21.839991	2689.145996	 	 
 	319.699951	28.849998	21.050013	3040.139893	 	 
 	379.000000	31.044991	22.339991	3675.760986	 	 
 	408.000000	30.544991	21.249994	3664.312500	 	 
 	401.199951	30.445000	21.339991	3622.735840	 	 
 	376.000000	29.544991	19.839991	3317.358643	 	 
 	327.000000	29.650002	21.550013	3162.290039	 	 
 	358.500000	29.195000	21.050013	3071.539551	 	 
 	385.000000	31.799980	22.449976	3895.164795	 	 
 	382.000000	33.549980	24.649988	4265.948730	 	 
 	258.399902	31.300011	24.550013	3727.266113	 	 
 	277.199951	29.249992	21.249994	2571.669922	 	 
 	284.399902	28.599998	22.649988	2103.235352	 	 
 	320.500000	30.650002	24.050013	2177.627930	 	 
 	178.199951	26.549982	24.449976	998.806335	 	 
 	187.000000	28.945002	26.050013	2118.007080	 	 
 	257.699951	29.394981	23.339991	2431.817871	 	 
 	299.500000	30.294991	23.749994	2711.840088	 	 
 	311.399902	24.349998	16.050013	1648.742310	 	 
 	385.699951	22.544992	14.249994	1989.065430	 	 
 	400.699951	24.394981	15.839991	2617.783447	 	 
 	401.500000	26.949989	17.249994	3088.015625	 	 
 	379.699951	32.249992	23.749994	4371.221680	 	 
 	299.699951	32.949989	26.649988	4282.426270	 	 
 	245.899902	32.800011	27.550013	3665.044922	 	 
 	267.699951	32.749992	27.550013	3574.915771	 	 
 	271.699951	33.999992	28.050013	4094.708984	 	 
 	229.399902	25.849998	18.550013	2141.586914	 	 
 	305.699951	28.494987	21.339991	2834.963623	 	 
 	337.000000	28.900002	19.249994	3072.712646	 	 
 	361.000000	28.999992	20.949976	3223.675049	 	 
 	284.899902	30.494987	24.339991	3437.644531	 	 
 	262.399902	32.144981	26.449976	3759.856689	 	 
 	127.500000	30.244987	26.149988	3312.962402	 	 
 	143.000000	27.799982	23.949976	2993.351807	 	 
 	174.199951	26.339991	22.839991	2435.672852	 	 
 	120.500000	20.599985	18.949976	752.987610	 	 
 	181.699951	26.049982	21.649988	2285.474609	 	 
 	249.199951	26.900003	22.249994	2862.292236	 	 
 	278.699951	26.699989	20.149988	2823.373291	 	 
 	308.500000	28.144981	20.839991	2973.233154	 	 
 	358.000000	28.499992	19.050013	3011.656494	 	 
 	363.500000	27.400002	17.249994	2925.805908	 	 
 	356.699951	29.099983	19.249994	3452.178223	 	 
 	337.199951	32.349983	24.249994	4208.900391	 	 
 	309.199951	31.999992	23.550013	4038.530762	 	 
 	272.399902	32.900002	24.249994	4229.632324	 	 
 	265.899902	32.599983	27.249994	3767.207031	 	 
 	284.699951	32.299980	26.449976	3396.638428	 	 
 	249.399902	30.799980	23.649988	3332.732422	 	 
 	339.500000	30.300011	22.550013	3408.053223	 	 
 	325.699951	30.549980	23.449976	3566.609375	 	 
 	318.699951	29.294991	21.249994	3226.996094	 	 
 	307.699951	28.949989	21.149988	3113.888672	 	 
 	273.899902	30.050011	23.550013	3416.963867	 	 
 	282.199951	32.449989	26.149988	4015.223389	 	 
 	294.000000	32.199989	24.249994	3938.914795	 	 
 	286.699951	31.150002	22.749994	3690.082764	 	 
 	275.399902	32.650002	25.249994	3968.114746	 	 
 	272.699951	32.294991	24.839991	3757.351807	 	 
 	205.399902	30.699989	23.749994	3216.842041	 	 
 	206.399902	25.899986	17.149988	1581.870728	 	 
 	220.399902	25.650003	20.749994	1885.896118	 	 
 	238.899902	28.949989	23.149988	2456.889160	 	 
 	263.699951	29.644981	23.949976	2455.684570	 	 
 	271.899902	30.244987	23.149988	2523.541016	 	 
 	186.399902	27.999992	22.050013	1954.979980	 	 
 	153.500000	19.999994	14.550013	875.238281	 	 
 	212.199951	17.195002	10.550013	1390.014526	 	 
 	312.000000	18.049982	8.149988	1671.534546	 	 
 	284.199951	19.850000	12.649988	1653.245239	 	 
 	202.699951	16.544992	11.249994	1031.189453	 	 
 	295.000000	16.249994	8.249994	1225.766235	 	 
 	305.500000	17.994989	9.649988	1534.242554	 	 
 	274.699951	22.794992	14.249994	1994.937500	 	 
 	285.500000	22.949991	14.249994	2036.710938	 	 
 	289.000000	22.249994	12.749994	2057.185059	 	 
 	270.199951	22.900003	15.550013	2229.498047	 	 
 	196.399902	22.699976	17.949976	2231.010010	 	 
 	120.199951	20.195002	16.050013	1473.040771	 	 
 	155.199951	19.449991	12.649988	1825.137451	 	 
 	213.399902	24.339991	18.339991	2094.170166	 	 
 	207.699951	23.249994	14.949976	1982.660400	 	 
 	264.199951	22.699976	14.949976	1953.076538	 	 
 	248.899902	22.949991	15.649988	2108.230469	 	 
 	265.699951	21.899988	13.149988	1979.978760	 	 
 	274.399902	20.195002	10.839991	1749.910400	 	 
 	278.699951	17.945002	8.050013	1496.983887	 	 
 	278.699951	16.644983	6.339990	1505.810547	 	 
 	282.000000	15.800013	4.550012	1495.082642	 	 
 	277.199951	16.650003	5.749994	1511.378784	 	 
 	273.199951	20.100000	10.550013	1842.237671	 	 
 	258.899902	17.049982	8.449976	1015.664612	 	 
 	268.899902	14.494989	4.339990	1119.273193	 	 
 	272.000000	13.089991	1.839990	1232.898071	 	 
 	247.899902	11.049982	-2.350012	1180.066895	 	 
 	264.399902	15.839991	5.339990	1199.650391	 	 
 	261.399902	14.149988	5.649988	1032.737061	 	 
 	252.399902	15.399988	6.649988	1236.381836	 	 
 	253.399902	13.749994	3.550012	1134.992065	 	 
 	255.199951	12.350000	3.649988	999.611633	 	 
 	255.199951	12.100000	3.050012	926.662170	 	 
 	256.899902	10.899988	0.649988	830.103333	 	 
 	254.699951	10.799982	-0.850012	845.257385	 	 
 	252.699951	14.249994	4.749994	1071.470703	 	 
 	249.699951	16.850000	8.050013	1385.219116	 	 
 	230.399902	16.599985	7.249994	1442.587158	 	 
 	244.399902	16.294992	5.249994	1300.053223	 	 
 	233.199951	19.699976	10.949976	1710.520508	 	 
 	215.399902	17.099985	8.749994	1199.522095	 	 
 	235.899902	14.544992	5.749994	1038.474609	 	 
 	227.699951	14.400003	5.050012	1091.755127	 	 
 	221.199951	17.195002	7.550012	1315.485718	 	 
 	215.199951	18.100000	11.050013	1309.665039	 	 
 	175.199951	19.549982	12.449976	1592.243164	 	 
 	163.199951	18.394983	7.949975	1503.598145	 	 
 	210.399902	20.894983	12.339991	1641.450806	 	 
 	170.000000	20.644983	11.339991	1807.256836	 	 
 	155.699951	20.249994	9.550013	1597.515137	 	 
 	205.399902	19.799982	7.949975	1489.940918	 	 
 	213.399902	22.650002	12.749994	2129.282959	 	 
 	159.399902	21.199991	12.649988	1777.380859	 	 
 	158.199951	22.749994	15.249994	1893.503662	 	 
 	176.899902	16.150003	6.249994	825.941528	 	 
 	212.199951	12.445002	3.839990	921.786133	 	 
 	212.699951	11.849985	2.249994	943.760132	 	 
 	210.699951	15.050013	5.550012	1026.235718	 	 
 	119.899902	18.244989	11.149988	1235.345459	 	 
 	163.899902	19.600000	11.149988	1328.603027	 	 
 	189.199951	22.899988	16.149988	2085.504883	 	 
 	141.199951	20.149988	12.649988	1294.436768	 	 
 	168.899902	14.449991	7.249994	721.154907	 	 
 	198.199951	15.900003	9.249994	1072.231079	 	 
 	170.899902	16.900003	9.050013	1147.087280	 	 
 	186.399902	16.599985	7.949975	1228.424927	 	 
 	182.899902	18.445002	9.839991	1596.295532	 	 
 	129.699951	14.900003	7.050012	846.100220	 	 
 	133.399902	11.949991	5.249994	771.246399	 	 
 	139.399902	12.499994	6.749994	718.417236	 	 
 	174.399902	12.199991	5.149988	494.386108	 	 
 	185.399902	12.350000	4.649988	586.899658	 	 
 	197.899902	12.449991	2.749994	831.772339	 	 
 	197.199951	13.699991	6.149988	954.913269	 	 
 	134.699951	14.394983	8.339991	586.551697	 	 
 	127.699951	6.994989	-3.350012	0.000000	 	 
 	207.699951	6.749994	-2.449988	569.698059	 	 
 	206.699951	9.699991	-1.350012	827.453613	 	 
 	198.199951	10.144999	-1.049994	729.908691	 	 
 	202.699951	10.350000	-1.449988	784.730103	 	 
 	202.899902	12.299982	1.949976	901.801147	 	 
 	194.899902	15.699991	7.149988	974.512939	 	 
 	183.899902	15.839991	7.339990	921.630188	 	 
 	195.899902	13.894983	5.449975	1015.154968	 	 
 	197.899902	13.550013	5.550012	982.370728	 	 
 	203.699951	10.144983	0.339990	695.842590	 	 
 	204.899902	8.549982	-1.350012	562.133118	 	 
 	204.199951	8.849985	0.249994	650.933655	 	 
 	204.199951	9.144983	-0.160010	765.914124	 	 
 	205.899902	8.999994	0.249994	673.815674	 	 
 	205.199951	7.850000	-1.350012	630.600098	 	 
